Code,Country,State,Zip/Post Code,Rate,Zip/Post is Range,Range From,Range To,default
US-WI-53598-Rate 1,US,WI,53598,5.5,,,,
US-WI-53599-Rate 1,US,WI,53599,5.5,,,,
US-WI-53701-Rate 1,US,WI,53701,5.5,,,,
US-WI-53702-Rate 1,US,WI,53702,5.5,,,,
US-WI-53703-Rate 1,US,WI,53703,5.5,,,,
US-WI-53704-Rate 1,US,WI,53704,5.5,,,,
US-WI-53704-Rate 1,US,WI,53704,5.5,,,,
US-WI-53705-Rate 1,US,WI,53705,5.5,,,,
US-WI-53705-Rate 1,US,WI,53705,5.5,,,,
US-WI-53706-Rate 1,US,WI,53706,5.5,,,,
US-WI-53707-Rate 1,US,WI,53707,5.5,,,,
US-WI-53708-Rate 1,US,WI,53708,5.5,,,,
US-WI-53711-Rate 1,US,WI,53711,5.5,,,,
US-WI-53711-Rate 1,US,WI,53711,5.5,,,,
US-WI-53713-Rate 1,US,WI,53713,5.5,,,,
US-WI-53713-Rate 1,US,WI,53713,5.5,,,,
US-WI-53713-Rate 1,US,WI,53713,5.5,,,,
US-WI-53714-Rate 1,US,WI,53714,5.5,,,,
US-WI-53714-Rate 1,US,WI,53714,5.5,,,,
US-WI-53715-Rate 1,US,WI,53715,5.5,,,,
US-WI-53716-Rate 1,US,WI,53716,5.5,,,,
US-WI-53716-Rate 1,US,WI,53716,5.5,,,,
US-WI-53716-Rate 1,US,WI,53716,5.5,,,,
US-WI-53717-Rate 1,US,WI,53717,5.5,,,,
US-WI-53718-Rate 1,US,WI,53718,5.5,,,,
US-WI-53719-Rate 1,US,WI,53719,5.5,,,,
US-WI-53719-Rate 1,US,WI,53719,5.5,,,,
US-WI-53725-Rate 1,US,WI,53725,5.5,,,,
US-WI-53726-Rate 1,US,WI,53726,5.5,,,,
US-WI-53744-Rate 1,US,WI,53744,5.5,,,,
US-WI-53774-Rate 1,US,WI,53774,5.5,,,,
US-WI-53777-Rate 1,US,WI,53777,5.5,,,,
US-WI-53778-Rate 1,US,WI,53778,5.5,,,,
US-WI-53779-Rate 1,US,WI,53779,5.5,,,,
US-WI-53782-Rate 1,US,WI,53782,5.5,,,,
US-WI-53783-Rate 1,US,WI,53783,5.5,,,,
US-WI-53784-Rate 1,US,WI,53784,5.5,,,,
US-WI-53785-Rate 1,US,WI,53785,5.5,,,,
US-WI-53786-Rate 1,US,WI,53786,5.5,,,,
US-WI-53788-Rate 1,US,WI,53788,5.5,,,,
US-WI-53789-Rate 1,US,WI,53789,5.5,,,,
US-WI-53790-Rate 1,US,WI,53790,5.5,,,,
US-WI-53791-Rate 1,US,WI,53791,5.5,,,,
US-WI-53792-Rate 1,US,WI,53792,5.5,,,,
US-WI-53793-Rate 1,US,WI,53793,5.5,,,,
US-WI-53794-Rate 1,US,WI,53794,5.5,,,,
US-WI-53801-Rate 1,US,WI,53801,5.5,,,,
US-WI-53801-Rate 1,US,WI,53801,5.5,,,,
US-WI-53802-Rate 1,US,WI,53802,5.5,,,,
US-WI-53803-Rate 1,US,WI,53803,5.5,,,,
US-WI-53803-Rate 1,US,WI,53803,5.5,,,,
US-WI-53804-Rate 1,US,WI,53804,5.5,,,,
US-WI-53805-Rate 1,US,WI,53805,5.5,,,,
US-WI-53806-Rate 1,US,WI,53806,5.5,,,,
US-WI-53807-Rate 1,US,WI,53807,5.5,,,,
US-WI-53808-Rate 1,US,WI,53808,5.5,,,,
US-WI-53809-Rate 1,US,WI,53809,5.5,,,,
US-WI-53810-Rate 1,US,WI,53810,5.5,,,,
US-WI-53811-Rate 1,US,WI,53811,5.5,,,,
US-WI-53812-Rate 1,US,WI,53812,5.5,,,,
US-WI-53813-Rate 1,US,WI,53813,5.5,,,,
US-WI-53816-Rate 1,US,WI,53816,5.5,,,,
US-WI-53817-Rate 1,US,WI,53817,5.5,,,,
US-WI-53818-Rate 1,US,WI,53818,5.5,,,,
US-WI-53820-Rate 1,US,WI,53820,5.5,,,,
US-WI-53821-Rate 1,US,WI,53821,5.5,,,,
US-WI-53824-Rate 1,US,WI,53824,5.5,,,,
US-WI-53825-Rate 1,US,WI,53825,5.5,,,,
US-WI-53826-Rate 1,US,WI,53826,5.5,,,,
US-WI-53827-Rate 1,US,WI,53827,5.5,,,,
US-WI-53901-Rate 1,US,WI,53901,5.5,,,,
US-WI-53910-Rate 1,US,WI,53910,5.5,,,,
US-WI-53911-Rate 1,US,WI,53911,5.5,,,,
US-WI-53913-Rate 1,US,WI,53913,5.5,,,,
US-WI-53913-Rate 1,US,WI,53913,5.5,,,,
US-WI-53916-Rate 1,US,WI,53916,5.5,,,,
US-WI-53916-Rate 1,US,WI,53916,5.5,,,,
US-WI-53919-Rate 1,US,WI,53919,5,,,,
US-WI-53920-Rate 1,US,WI,53920,5.5,,,,
US-WI-53922-Rate 1,US,WI,53922,5.5,,,,
US-WI-53923-Rate 1,US,WI,53923,5.5,,,,
US-WI-53924-Rate 1,US,WI,53924,5.5,,,,
US-WI-53925-Rate 1,US,WI,53925,5.5,,,,
US-WI-53926-Rate 1,US,WI,53926,5.5,,,,
US-WI-53927-Rate 1,US,WI,53927,5.5,,,,
US-WI-53927-Rate 1,US,WI,53927,5.5,,,,
US-WI-53928-Rate 1,US,WI,53928,5.5,,,,
US-WI-53929-Rate 1,US,WI,53929,5.5,,,,
US-WI-53930-Rate 1,US,WI,53930,5.5,,,,
US-WI-53931-Rate 1,US,WI,53931,5,,,,
US-WI-53932-Rate 1,US,WI,53932,5.5,,,,
US-WI-53933-Rate 1,US,WI,53933,5.5,,,,
US-WI-53934-Rate 1,US,WI,53934,5.5,,,,
US-WI-53935-Rate 1,US,WI,53935,5.5,,,,
US-WI-53936-Rate 1,US,WI,53936,5.5,,,,
US-WI-53937-Rate 1,US,WI,53937,5.5,,,,
US-WI-53939-Rate 1,US,WI,53939,5.5,,,,
US-WI-53940-Rate 1,US,WI,53940,5.5,,,,
US-WI-53941-Rate 1,US,WI,53941,5.5,,,,
US-WI-53942-Rate 1,US,WI,53942,5.5,,,,
US-WI-53943-Rate 1,US,WI,53943,5.5,,,,
US-WI-53944-Rate 1,US,WI,53944,5.5,,,,
